,GL,Reduction text
0,2201.0,Freight
1,2201.0,Freight
2,2201.0,Freight
3,2201.0,Freight
4,2201.0,ESTIMATED shipping costs
5,2201.0,Freight For
6,2201.0,Freight
7,2201.0,Frieght
8,2201.0,Freight Charges
9,2201.0,Freight
10,2201.0,Freight
11,2201.0,Freight
12,2201.0,Freight Charges MBW
13,2201.0,Freight
14,2201.0,Freight
15,2201.0,Freight
16,2201.0,Freight Charges
17,2201.0,Freight Charges
18,2201.0,Freight
19,2201.0,Freight
20,2201.0,Freight
21,2201.0,Freight Charges
22,2201.0,Freight Charges
23,2201.0,Freight
24,2201.0,Freight
25,2201.0,Freight
26,2201.0,Freight Charges
27,2201.0,Freight
28,2201.0,Freight
29,2201.0,Freight
30,2201.0,Freight
31,2201.0,Freight
32,2201.0,Freight
33,2201.0,Freight
34,2201.0,Freight
35,2201.0,Freight Charges
36,2201.0,Freight
37,2201.0,Freight
38,2201.0,Freight
39,2201.0,Freight
40,2201.0,Freight
41,2201.0,Freight
42,2201.0,Freight Charges
43,2201.0,Freight
44,2201.0,Freight
45,2201.0,Freight
46,2201.0,Freight
47,2201.0,MBW Freight Charges
48,2201.0,Freight
49,2201.0,Freight Charges MBW
50,2201.0,Freight
51,2201.0,Freight
52,2201.0,Freight
53,2201.0,Freight
54,2201.0,estimated shipping costs
55,2201.0,Freight Charges
56,2201.0,Freight Charges MBW
57,2201.0,Freight - estimated cost
58,2201.0,Freight Charges
59,2201.0,Shipping
60,2201.0,Freight
61,2201.0,Freight
62,2201.0,Freight
63,2201.0,Freight
64,2201.0,Freight
65,2201.0,Freight Charges MBW
66,2201.0,Freight / Cost of Shipping
67,2201.0,Freight
68,2201.0,Freight
69,2201.0,Freight Charges
70,2201.0,Freight charges
71,2201.0,Kneel Pad    MAT13
72,2201.0,Freight
73,2201.0,freight Charges
74,2201.0,Freight
75,2201.0,Freight
76,2201.0,Freight
77,2201.0,Freight Charges
78,2201.0,Freight
79,2201.0,Freight
80,2201.0,Freight Charges
81,2201.0,Freight
82,2201.0,Freight
83,2201.0,Freight
84,2201.0,Freight Charges
85,2201.0,Freight
86,2201.0,Freight
